# Time-averaged data for fix rdf_final_eq
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
0 100
35 2.07 0.0449125 0.0078125
36 2.13 0.042418 0.015625
37 2.19 0.120377 0.0390625
38 2.25 0.114043 0.0625
39 2.31 0.288523 0.125
40 2.37 0.68525 0.28125
41 2.43 0.945153 0.507812
42 2.49 1.14847 0.796875
43 2.55 1.77578 1.26562
44 2.61 1.86459 1.78125
45 2.67 2.15967 2.40625
46 2.73 2.27237 3.09375
47 2.79 2.49709 3.88281
48 2.85 2.39306 4.67188
49 2.91 1.86359 5.3125
50 2.97 2.13814 6.07812
51 3.03 2.13816 6.875
52 3.09 1.55203 7.47656
53 3.15 1.92017 8.25
54 3.21 1.47551 8.86719
55 3.27 1.31387 9.4375
56 3.33 1.12811 9.94531
57 3.39 0.854079 10.3438
58 3.45 0.953985 10.8047
59 3.51 0.671711 11.1406
60 3.57 0.906031 11.6094
61 3.63 0.701062 11.9844
62 3.69 0.593643 12.3125
63 3.75 0.451628 12.5703
64 3.81 0.54358 12.8906
65 3.87 0.501156 13.1953
66 3.93 0.560735 13.5469
67 3.99 0.616531 13.9453
68 4.05 0.516266 14.2891
69 4.11 0.524089 14.6484
70 4.17 0.664065 15.1172
71 4.23 0.656116 15.5938
72 4.29 0.60652 16.0469
73 4.35 0.620416 16.5234
74 4.41 0.603649 17
75 4.47 0.789825 17.6406
76 4.53 1.04102 18.5078
77 4.59 1.03225 19.3906
78 4.65 1.05029 20.3125
79 4.71 0.928271 21.1484
80 4.77 1.23495 22.2891
81 4.83 1.11371 23.3438
82 4.89 1.07045 24.3828
83 4.95 1.31171 25.6875
84 5.01 1.19614 26.9062
85 5.07 1.46 28.4297
86 5.13 1.36754 29.8906
87 5.19 1.25751 31.2656
88 5.25 1.13816 32.5391
89 5.31 1.37878 34.1172
90 5.37 1.22801 35.5547
91 5.43 1.22061 37.0156
92 5.49 1.11106 38.375
93 5.55 1.11841 39.7734
94 5.61 1.14965 41.2422
95 5.67 1.1015 42.6797
96 5.73 0.990631 44
97 5.79 0.889835 45.2109
98 5.85 0.933536 46.5078
99 5.91 0.975289 47.8906
100 5.97 1.00438 49.3438
1600 100
1 0.03 0 0
