# Time-averaged data for fix rdf_final_eq
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
0 100
67 3.99 0.444084 13.6875
68 4.05 0.490888 14.0078
69 4.11 0.592919 14.4062
70 4.17 0.598567 14.8203
71 4.23 0.548781 15.2109
72 4.29 0.586891 15.6406
73 4.35 0.78876 16.2344
74 4.41 0.757346 16.8203
75 4.47 0.81578 17.4688
76 4.53 0.746463 18.0781
77 4.59 0.866898 18.8047
78 4.65 0.971826 19.6406
79 4.71 1.22165 20.7188
80 4.77 0.95807 21.5859
81 4.83 1.12803 22.6328
82 4.89 1.12516 23.7031
83 4.95 1.41063 25.0781
84 5.01 1.35357 26.4297
85 5.07 1.23005 27.6875
86 5.13 1.36561 29.1172
87 5.19 1.15195 30.3516
88 5.25 1.2184 31.6875
89 5.31 1.32336 33.1719
90 5.37 1.18499 34.5312
91 5.43 1.12564 35.8516
92 5.49 1.08162 37.1484
93 5.55 1.17313 38.5859
94 5.61 1.14817 40.0234
95 5.67 1.30726 41.6953
96 5.73 1.18432 43.2422
97 5.79 1.13647 44.7578
98 5.85 1.14771 46.3203
99 5.91 0.98958 47.6953
100 5.97 0.986319 49.0938
1600 100
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0 0
21 1.23 0 0
22 1.29 0 0
23 1.35 0 0
24 1.41 0 0
25 1.47 0 0
26 1.53 0 0
27 1.59 0 0
28 1.65 0 0
29 1.71 0 0
30 1.77 0 0
31 1.83 0 0
32 1.89 0 0
33 1.95 0 0
34 2.01 0 0
35 2.07 0 0
36 2.13 0.043238 0.0078125
37 2.19 0.0409014 0.015625
38 2.25 0.232495 0.0625
39 2.31 0.330863 0.132812
40 2.37 0.523872 0.25
41 2.43 1.02987 0.492188
42 2.49 0.759355 0.679688
43 2.55 1.6291 1.10156
44 2.61 1.41107 1.48438
45 2.67 2.42156 2.17188
46 2.73 1.97411 2.75781
47 2.79 2.24294 3.45312
48 2.85 2.39102 4.22656
49 2.91 2.57143 5.09375
50 2.97 2.31291 5.90625
51 3.03 1.81624 6.57031
52 3.09 2.13676 7.38281
53 3.15 1.58165 8.00781
54 3.21 1.59923 8.66406
55 3.27 1.13746 9.14844
56 3.33 1.50374 9.8125
57 3.39 1.3827 10.4453
58 3.45 0.807608 10.8281
59 3.51 0.843927 11.2422
60 3.57 0.754229 11.625
61 3.63 0.684839 11.9844
62 3.69 0.446635 12.2266
63 3.75 0.460358 12.4844
64 3.81 0.459487 12.75
65 3.87 0.523942 13.0625
66 3.93 0.571574 13.4141
67 3.99 0.443611 13.6953
68 4.05 0.406644 13.9609
69 4.11 0.545833 14.3281
70 4.17 0.530239 14.6953
71 4.23 0.592051 15.1172
72 4.29 0.714178 15.6406
73 4.35 0.736083 16.1953
74 4.41 0.776713 16.7969
75 4.47 0.785456 17.4219
76 4.53 0.822147 18.0938
77 4.59 0.987024 18.9219
78 4.65 1.02523 19.8047
79 4.71 0.99043 20.6797
80 4.77 1.15536 21.7266
81 4.83 1.26138 22.8984
82 4.89 1.18139 24.0234
83 4.95 1.15292 25.1484
84 5.01 1.24271 26.3906
85 5.07 1.03794 27.4531
86 5.13 1.27471 28.7891
87 5.19 1.47118 30.3672
88 5.25 1.28828 31.7812
89 5.31 1.19671 33.125
90 5.37 1.14971 34.4453
91 5.43 1.29078 35.9609
92 5.49 1.2497 37.4609
93 5.55 1.33747 39.1016
94 5.61 1.11578 40.5
95 5.67 0.958039 41.7266
96 5.73 1.14123 43.2188
97 5.79 1.08259 44.6641
98 5.85 1.0261 46.0625
99 5.91 1.00537 47.4609
100 5.97 1.04582 48.9453
1800 100
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0 0
21 1.23 0 0
22 1.29 0 0
23 1.35 0 0
24 1.41 0 0
25 1.47 0 0
26 1.53 0 0
27 1.59 0 0
28 1.65 0 0
29 1.71 0 0
30 1.77 0 0
31 1.83 0 0
32 1.89 0 0
33 1.95 0 0
34 2.01 0 0
35 2.07 0 0
36 2.13 0.04325 0.0078125
37 2.19 0.0409127 0.015625
38 2.25 0.15504 0.046875
39 2.31 0.4045 0.132812
40 2.37 0.454148 0.234375
41 2.43 0.99692 0.46875
42 2.49 0.822863 0.671875
43 2.55 1.72008 1.11719
44 2.61 1.5843 1.54688
45 2.67 2.36718 2.21875
46 2.73 1.94833 2.79688
47 2.79 2.11752 3.45312
48 2.85 2.27089 4.1875
49 2.91 2.38677 4.99219
50 2.97 2.44703 5.85156
51 3.03 2.26558 6.67969
52 3.09 1.91129 7.40625
53 3.15 1.91828 8.16406
54 3.21 1.48541 8.77344
55 3.27 1.57821 9.44531
56 3.33 1.00867 9.89062
57 3.39 1.16111 10.4219
58 3.45 0.642968 10.7266
59 3.51 0.764523 11.1016
60 3.57 0.877611 11.5469
61 3.63 0.610569 11.8672
62 3.69 0.489994 12.1328
63 3.75 0.572118 12.4531
64 3.81 0.581277 12.7891
65 3.87 0.458576 13.0625
66 3.93 0.495501 13.3672
67 3.99 0.517689 13.6953
68 4.05 0.478537 14.0078
69 4.11 0.441434 14.3047
70 4.17 0.643234 14.75
71 4.23 0.537381 15.1328
72 4.29 0.554441 15.5391
73 4.35 0.684435 16.0547
74 4.41 0.877828 16.7344
75 4.47 0.903525 17.4531
76 4.53 0.812812 18.1172
77 4.59 1.06181 19.0078
78 4.65 1.00736 19.875
79 4.71 1.14108 20.8828
80 4.77 1.13843 21.9141
81 4.83 0.958912 22.8047
82 4.89 1.30481 24.0469
83 4.95 1.12121 25.1406
84 5.01 1.24305 26.3828
85 5.07 1.0764 27.4844
86 5.13 1.22286 28.7656
