# Time-averaged data for fix rdf_final_eq
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
0 100
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0 0
21 1.23 0 0
22 1.29 0 0
23 1.35 0 0
24 1.41 0 0
25 1.47 0 0
26 1.53 0 0
27 1.59 0 0
28 1.65 0 0
29 1.71 0 0
30 1.77 0 0
31 1.83 0 0
32 1.89 0 0
33 1.95 0 0
34 2.01 0 0
35 2.07 0.0390193 0.0078125
36 2.13 0 0.0078125
37 2.19 0.209164 0.0546875
38 2.25 0.429342 0.15625
39 2.31 0.877326 0.375
40 2.37 0.952536 0.625
41 2.43 1.58564 1.0625
42 2.49 2.21129 1.70312
43 2.55 1.77419 2.24219
44 2.61 2.6017 3.07031
45 2.67 2.18119 3.79688
46 2.73 2.84913 4.78906
47 2.79 2.66347 5.75781
48 2.85 2.05847 6.53906
49 2.91 1.89549 7.28906
50 2.97 1.85759 8.05469
51 3.03 1.51158 8.70312
52 3.09 1.40091 9.32812
53 3.15 1.06159 9.82031
54 3.21 0.827558 10.2188
55 3.27 0.625466 10.5312
56 3.33 0.829304 10.9609
57 3.39 0.669265 11.3203
58 3.45 0.646189 11.6797
59 3.51 0.407144 11.9141
60 3.57 0.695313 12.3281
61 3.63 0.431427 12.5938
62 3.69 0.45435 12.8828
63 3.75 0.594497 13.2734
64 3.81 0.633512 13.7031
65 3.87 0.580529 14.1094
66 3.93 0.443855 14.4297
67 3.99 0.493623 14.7969
68 4.05 0.550461 15.2188
69 4.11 0.752269 15.8125
70 4.17 0.798086 16.4609
71 4.23 0.915776 17.2266
72 4.29 0.908509 18.0078
73 4.35 1.08685 18.9688
74 4.41 0.962909 19.8438
75 4.47 1.06276 20.8359
76 4.53 1.13257 21.9219
77 4.59 1.08728 22.9922
78 4.65 1.42284 24.4297
79 4.71 1.00243 25.4688
80 4.77 1.17579 26.7188
81 4.83 1.31877 28.1562
82 4.89 1.43345 29.7578
83 4.95 1.32384 31.2734
84 5.01 1.29899 32.7969
85 5.07 1.32046 34.3828
86 5.13 1.27705 35.9531
87 5.19 1.20424 37.4688
88 5.25 1.23147 39.0547
89 5.31 1.15636 40.5781
90 5.37 1.21764 42.2188
91 5.43 0.9527 43.5312
92 5.49 0.970823 44.8984
93 5.55 0.857666 46.1328
94 5.61 1.01474 47.625
95 5.67 0.83735 48.8828
96 5.73 0.850461 50.1875
97 5.79 0.917715 51.625
98 5.85 0.850129 52.9844
99 5.91 0.933484 54.5078
100 5.97 0.839753 55.9062
1800 100
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
